PostAuthorKey,CommenterKey,InteractionCount,UniquePostsCommented,WithinWindowCount,MedianDeltaMinutes,MinDeltaMinutes,SelfCommentCount
id:horizon,id:pearson19,5,5,3,3.683333333333333,1.2333333333333334,0
id:hyeok497,id:sounited13,5,5,3,2.1333333333333333,1.05,0
id:hyeok497,id:whoshot,5,5,3,2.7,1.4,0
id:hypeboy,id:bulbol,5,5,3,3.433333333333333,0.6666666666666666,0
id:impactx84,id:ulsan0101,5,5,3,4.9,0.7833333333333333,0
id:impactx84,id:wind1123,5,5,3,4.883333333333334,3.4166666666666665,0
id:juventus82,id:FeelingGood,5,5,3,4.183333333333334,0.9833333333333333,0
id:kim2pac,id:pearson19,5,5,3,2.9833333333333334,0.5833333333333334,0
id:kiriman,id:pearson19,5,5,3,4.883333333333334,0.5,0
id:kokomong,id:malwool,5,5,3,3.316666666666667,2.0,0
id:naco16,id:cytokine1234,5,5,3,1.6666666666666667,0.6166666666666667,0
id:naco16,id:progamer77,5,5,3,2.216666666666667,0.6333333333333333,0
id:naco16,id:sdh90,5,5,3,3.4,1.8166666666666667,0
id:pearson19,id:stynerkn,5,5,3,3.85,0.8333333333333334,0
id:rukk7812,id:BongGu1103,5,5,3,2.9,1.7166666666666666,0
id:rukk7812,id:footpodo,5,5,3,4.983333333333333,2.0833333333333335,0
id:rukk7812,id:wind1123,5,5,3,1.8666666666666667,1.05,0
id:zero080,id:rukk7812,5,5,3,3.1,0.9333333333333333,0
id:pucrinyesir,id:donka,5,4,3,2.466666666666667,0.3,0
id:pucrinyesir,id:oasiticjoo19,5,4,3,4.783333333333333,1.1666666666666667,0
id:yo821281,id:say1673,5,4,3,3.1333333333333333,0.6333333333333333,0
id:novacane,id:mirissoul2,5,3,3,2.1666666666666665,1.5333333333333334,0
id:6830,id:impactx84,4,4,3,3.3,2.8333333333333335,0
id:BlackEyes23,id:whoshot,4,4,3,0.9,0.6,0
id:FeelingGood,id:KINGBATI,4,4,3,1.875,0.5833333333333334,0
id:FeelingGood,id:roe2k,4,4,3,3.3333333333333335,2.716666666666667,0
id:Necovv,id:okao,4,4,3,1.25,0.6666666666666666,0
id:Volvo,id:dleoduq1234,4,4,3,2.575,1.45,0
id:alfatini,id:bulbol,4,4,3,2.2,1.5,0
id:alfatini,id:cauking,4,4,3,3.7,1.9166666666666667,0
id:alfatini,id:spoops,4,4,3,2.0583333333333336,0.7,0
id:blue123,id:kiriman,4,4,3,2.7583333333333333,1.9,0
id:bugfix,id:pearson19,4,4,3,1.0416666666666665,0.7666666666666667,0
id:bulbol,id:dadoocom,4,4,3,4.158333333333333,3.5833333333333335,0
id:bulbol,id:deportivo7,4,4,3,1.6666666666666667,0.5666666666666667,0
id:bulbol,id:hanlobby,4,4,3,3.3166666666666664,2.1333333333333333,0
id:bulbol,id:kuo13,4,4,3,3.1416666666666666,1.2666666666666666,0
id:bulbol,id:modern21,4,4,3,1.6749999999999998,0.8,0
id:bulbol,id:naco16,4,4,3,3.1916666666666664,2.4,0
id:bulbol,id:nox911,4,4,3,3.2,2.55,0
id:bundes1,id:FeelingGood,4,4,3,3.4916666666666663,1.8333333333333333,0
id:bvbreus11,id:bvbreus11,4,4,3,0.7083333333333333,0.08333333333333333,4
id:fantak,id:mirissoul2,4,4,3,3.158333333333333,1.65,0
id:fantak,id:modern21,4,4,3,2.075,0.5666666666666667,0
id:gum0510,id:FeelingGood,4,4,3,2.1,0.85,0
id:gum0510,id:malwool,4,4,3,1.5333333333333332,1.15,0
id:horizon,id:hypeboy,4,4,3,3.966666666666667,1.0,0
id:hyeok497,id:dhdld321,4,4,3,2.7,0.5666666666666667,0
id:hyeok497,id:tkrldh,4,4,3,3.283333333333333,1.5666666666666667,0
id:impactx84,id:flareburst,4,4,3,3.908333333333333,2.533333333333333,0
id:impactx84,id:whoshot,4,4,3,2.091666666666667,0.43333333333333335,0
id:joohakmoo,id:hopes,4,4,3,2.7583333333333333,0.5333333333333333,0
id:joohakmoo,id:spoops,4,4,3,1.4833333333333334,0.6166666666666667,0
id:juventus82,id:donka,4,4,3,1.675,0.65,0
id:kokomong,id:cytokine1234,4,4,3,1.4583333333333335,0.9666666666666667,0
id:kokomong,id:regnier,4,4,3,2.85,0.6333333333333333,0
id:lfcthismeans,id:KINGBATI,4,4,3,1.0833333333333335,0.85,0
id:luna7742,id:donka,4,4,3,2.5166666666666666,0.43333333333333335,0
id:naco16,id:Ibrahima,4,4,3,2.4916666666666667,1.6,0
id:ninety5mph,id:pearson19,4,4,3,1.375,1.2333333333333334,0
id:ninety5mph,id:progamer77,4,4,3,2.583333333333333,1.4666666666666666,0
id:pearson19,id:bulbol,4,4,3,0.9916666666666667,0.6833333333333333,0
id:pearson19,id:kiriman,4,4,3,3.025,1.3,0
id:pucrinyesir,id:kokomong,4,4,3,3.85,2.55,0
id:pucrinyesir,id:sexline,4,4,3,3.725,1.2333333333333334,0
id:radioshot1,id:rhcp11,4,4,3,3.916666666666667,1.7333333333333334,0
